model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
gpt-5.4,5,2bb7d4,desktop,40,0.552596290273271,0.5968654989926588,0.9661594684588009,0.9899225452235585,0.7368635985864428,0.4550047123264145
gpt-5.4,6,2bb7d4,desktop,52,0.5478071630307348,0.586304081221174,0.5983898530872878,0.9390287933921626,0.7566894480437858,0.4396002037394957
gpt-5.4,7,2bb7d4,desktop,45,0.43392172485259184,0.5722221671342302,0.6802610751265928,0.7553352526268033,0.7102810336251641,0.3234074987595958
gpt-5.4,9,2bb7d4,desktop,40,0.5590576205215317,0.5932655452226272,0.6314696868330806,1.0031360369814994,0.7557817184700754,0.4779568885184307
gpt-5.4,8,2bb7d4,desktop,48,0.43127441960997925,0.5589041538780882,0.7499330302956252,0.7504670134834679,0.7110137183490365,0.2954709849066046
gpt-5.4,10,2bb7d4,desktop,43,0.5896332810195554,0.6025300025998437,0.5712121847071732,0.9944965718977693,0.7604968384809052,0.5071460206311487
gpt-5.4,1,2fe128,desktop,45,0.4240038605188313,0.5246868117842667,0.8567117052528737,0.741076346486143,0.7368763771498622,0.42822701330928215
gpt-5.4,3,2fe128,desktop,41,0.46793237816109384,0.5474806878006169,0.8267876325156915,0.8118737239804857,0.7438554622335702,0.46975965620913535
gpt-5.4,2,2fe128,desktop,45,0.38734556331272074,0.5098679508691083,0.9427435635751931,0.7074421923006674,0.7474024655693292,0.39930824032382733
gpt-5.4,5,2fe128,desktop,42,0.4127948084034617,0.5315372790912527,0.8409941382519525,0.7164069795671073,0.7372114944190996,0.4123097275646893
gpt-5.4,4,2fe128,desktop,41,0.34034010729026054,0.4851393420386997,1.0137228689863107,0.6159779210100411,0.6950223654187371,0.3161086622699532
gpt-5.4,6,2fe128,desktop,46,0.41704709278397134,0.5295586568206804,0.8401869127313312,0.727448167912659,0.7476805793929711,0.4092674648989646
gpt-5.4,7,2fe128,desktop,44,0.39755329125492217,0.49896226072884436,0.8838139494285027,0.7019931475748074,0.723090924006849,0.38830356164407565
gpt-5.4,8,2fe128,desktop,42,0.3261151491932276,0.48493487234336974,0.9856340627698699,0.5820949010972194,0.6989264413175038,0.3338922616293028
gpt-5.4,9,2fe128,desktop,46,0.44193288547499776,0.5307575403777579,0.8777522321077186,0.7893763700646317,0.743594261879302,0.43103873718738406
gpt-5.4,10,2fe128,desktop,45,0.37321056057164037,0.507344840216854,0.9701042932250739,0.6763235596273529,0.7333532466431614,0.38120132790198835
gpt-5.4,1,3664a3,mobile,40,0.63918353385365,0.6155031311270661,0.5072320802865866,0.974727671048515,0.7717149835288983,0.63061573597759
gpt-5.4,2,3664a3,mobile,38,0.6403149751202556,0.6206978107423674,0.4716627261724484,0.9638893683934948,0.7721693822577257,0.6345664709245576
gpt-5.4,4,3664a3,mobile,40,0.5845119578717752,0.6072225974388502,0.558219611298383,0.8414152123526646,0.7491003717965626,0.5928005427726826
gpt-5.4,5,3664a3,mobile,40,0.6199433843563356,0.6265015301555521,0.5459178296653715,0.9305831935100066,0.7648728830010738,0.6386437066333158
gpt-5.4,3,3664a3,mobile,36,0.623558363188987,0.6208132856744748,0.5244861187917899,0.933955713944575,0.7632927233258009,0.6126313137086664
gpt-5.4,6,3664a3,mobile,40,0.5270722415260373,0.5783384746031042,0.6666929931721763,0.7519257268036112,0.7323949611072909,0.535956700374314
gpt-5.4,7,3664a3,mobile,40,0.648615276668141,0.6242452747818021,0.5793692554386496,0.9418292587976417,0.7648992108105926,0.6507354446246715
gpt-5.4,9,3664a3,mobile,37,0.5684462276311115,0.5931178625445536,0.5745199338859035,0.845488584305985,0.7462671885768614,0.5779346211910128
