model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,af9990,mobile,60.0,0.12257887325537578,0.36730620582392254,2.064867052030228
claude-opus-4.6,ec6510,mobile,20.0,0.12321049154672693,0.21003727793821422,5.289950718751641
claude-opus-4.6,ec6510,mobile,40.0,0.25393654554786504,0.4524588951152372,1.663492817606939
claude-opus-4.6,ec6510,mobile,60.0,0.37927190917967396,0.5780699890685279,0.7626554011493553
claude-opus-4.6,9aa231,mobile,20.0,0.26754891553815924,0.4547400817232322,1.7181996008437437
claude-opus-4.6,9aa231,mobile,40.0,0.4299796098240344,0.5879711533576027,0.5748329845917995
claude-opus-4.6,9aa231,mobile,60.0,0.4808437996521965,0.605814345234809,0.4959884014499581
claude-opus-4.6,13a206,mobile,20.0,0.17855497618098526,0.2338713092956719,5.933515747906063
claude-opus-4.6,13a206,mobile,40.0,0.27508927245687215,0.3521207305241132,3.3702070630051555
claude-opus-4.6,13a206,mobile,60.0,0.326339547389344,0.4022203324574814,2.027214285372631
claude-opus-4.6,2d811c,mobile,20.0,0.12065984009793249,0.20993804240540537,5.177304382618556
claude-opus-4.6,2d811c,mobile,40.0,0.248757364076711,0.45056904189611013,1.5764572303169824
claude-opus-4.6,2d811c,mobile,60.0,0.36493093681582334,0.5468881213591968,0.8698629268674604
claude-opus-4.6,70d755,mobile,20.0,0.2868783452324877,0.24918841015719478,5.227930761879618
claude-opus-4.6,70d755,mobile,40.0,0.4334649646590791,0.41431791615007985,2.325445982463244
claude-opus-4.6,70d755,mobile,60.0,0.5084072277509091,0.49220753162816605,1.3842728524833499
claude-opus-4.6,f02589,mobile,20.0,0.23251986772743385,0.27716496663179624,4.20987358678909
claude-opus-4.6,f02589,mobile,40.0,0.4276455502393257,0.4881736492572305,1.3462571700840253
claude-opus-4.6,f02589,mobile,60.0,0.5697582084344021,0.5732150245690119,0.7479050855782969
claude-opus-4.6,0c21ef,mobile,20.0,0.24472764773040234,0.2693520989513663,4.196749384553403
claude-opus-4.6,0c21ef,mobile,40.0,0.45804705513129534,0.4939365001195191,1.3719673985733931
claude-opus-4.6,0c21ef,mobile,60.0,0.5692317663733337,0.5554312553300654,0.8175120493052266
claude-opus-4.6,c053d2,mobile,20.0,0.05714537130291144,0.18823084666312279,5.8307151837023845
claude-opus-4.6,c053d2,mobile,40.0,0.09636395821626498,0.37137333276891027,2.8319516875278943
claude-opus-4.6,c053d2,mobile,60.0,0.11309640802127813,0.46748792685167556,1.5457902861335273
claude-opus-4.6,7ee781,mobile,20.0,0.18326915593507156,0.25780338695157234,4.779391516185556
claude-opus-4.6,7ee781,mobile,40.0,0.36220545464804343,0.5043670238603875,1.9800025379873882
claude-opus-4.6,7ee781,mobile,60.0,0.46500406980843456,0.6180883532469237,1.0688810604937924
claude-opus-4.6,8afe09,mobile,20.0,-0.050139389394134544,0.08386750027102141,7.752085351256866
claude-opus-4.6,8afe09,mobile,40.0,-0.07633639402042275,0.18586330587506183,5.354090959828428
claude-opus-4.6,8afe09,mobile,60.0,-0.08690402022169921,0.2587417941054787,3.5715876921665566
claude-opus-4.6,7527bb,mobile,20.0,0.587762181606636,0.5162682966152586,2.7670622485683545
claude-opus-4.6,7527bb,mobile,40.0,0.6823472312383847,0.6304239069283906,1.1254309872150263
claude-opus-4.6,7527bb,mobile,60.0,0.7069699035503674,0.6663890851763257,0.6265702754505206
claude-opus-4.6,6afc6f,mobile,20.0,0.12322133367292726,0.175525795296187,5.974850799730059
claude-opus-4.6,6afc6f,mobile,40.0,0.22636463206679402,0.37694123575958277,2.578898321628576
claude-opus-4.6,6afc6f,mobile,60.0,0.29746001117857646,0.49204890632357556,1.2074743631700602
claude-opus-4.6,f08c55,mobile,20.0,0.031207492694227033,0.1671393791019681,6.276869657715063
claude-opus-4.6,f08c55,mobile,40.0,0.05173923569190608,0.3396056696903536,3.036201731568779
claude-opus-4.6,f08c55,mobile,60.0,0.06073647064788075,0.41716985351617775,1.711894901153598
claude-opus-4.6,cdcaf8,mobile,20.0,0.10825783691337526,0.20770678543366447,5.444156041402355
claude-opus-4.6,cdcaf8,mobile,40.0,0.19609337878924732,0.41873570435325785,2.360914808618325
claude-opus-4.6,cdcaf8,mobile,60.0,0.25927180755460655,0.525262914642356,1.3613889454925665
claude-opus-4.6,93f7fb,mobile,20.0,-0.0276438992315157,0.10813198536216265,7.152446740330003
claude-opus-4.6,93f7fb,mobile,40.0,-0.054398847563438185,0.25018615227799534,4.298203145880821
claude-opus-4.6,93f7fb,mobile,60.0,-0.07677827572300541,0.3460776137840081,2.285590081843968
claude-opus-4.6,9073f0,mobile,20.0,0.011105829349003185,0.171105737812327,6.088490875389173
claude-opus-4.6,9073f0,mobile,40.0,0.02792601054119681,0.3509683582983997,2.974436371673211
claude-opus-4.6,9073f0,mobile,60.0,0.04484817998805313,0.4415172999772877,1.702729657069296
claude-opus-4.6,dcf870,mobile,20.0,0.35422139471924047,0.44838208911155475,2.011860172237546
claude-opus-4.6,dcf870,mobile,40.0,0.4611444015878905,0.5316139372221551,1.0201472937671676
claude-opus-4.6,dcf870,mobile,60.0,0.46308518749335936,0.5377799753232465,0.8507999246594837
claude-opus-4.6,c75d3f,mobile,20.0,0.1801549475633569,0.2215560178015956,5.141835685204902
claude-opus-4.6,c75d3f,mobile,40.0,0.3273374961004142,0.4159886179847038,1.5872262218264248
claude-opus-4.6,c75d3f,mobile,60.0,0.4295841665842739,0.4939622329912274,0.9224228698790113
claude-opus-4.6,da1a17,mobile,20.0,0.03367885059097665,0.1592942007826277,6.192797514868496
claude-opus-4.6,da1a17,mobile,40.0,0.06062302432171494,0.34938321958315566,2.5861976359390635
claude-opus-4.6,da1a17,mobile,60.0,0.08043523151258694,0.451114051064452,1.350242098143763
claude-opus-4.6,a42b4e,mobile,20.0,-0.01448544037746639,0.13704812271596234,6.4875813020716055
claude-opus-4.6,a42b4e,mobile,40.0,-0.026222920416489527,0.2907854823064894,3.0015461783588413
